Model,Input (kB),Output (kb),Size (MB),Transfer (ms),B1 (ms),B2 (ms),B4 (ms),B8 (ms),B16 (ms)
densenet121,602,4,32.,3.,3.80,5.,7.,10.,18.
densenet161,602,4,115.,9.,8.,10.,15.,24.,40.
densenet169,602,4,57.,4.50,5.,6.,9.,13.,22.
densenet201,602,4,80.0,7.,7.,8.,12.,18.30,31.
dla34,602,4,65.,5.,3.,5.,7.,11.,16.
googlenet,602,4,27.,2.,2.,2.,3.,4.,7.
inceptionv3,1073,4,95.,8.,4.,7.,11.,16.,26.
xception,602,4,159.,13.,4.,7.,10.,19.,35.
mobile_pose_mobilenet1.0,590,209,20.0,2.,0.99,2.,3.,6.,11.
mobile_pose_mobilenetv3,590,209,19.0,2.,1.,2.,3.,6.,12.
mobile_pose_resnet18_v1,590,209,51.,4.,1.,2.,4.,6.,11.
mobile_pose_resnet50_v1,590,209,102.,8.,3.,5.,9.00,16.,30.
simple_pose_resnet18_v1b,590,209,62.,5.00,2.,4.,7.,10.70,19.
resnest14,602,4,42.,3.,2.70,4.,7.,13.,23.
resnest26,602,4,68.,6.,4.30,6.,10.,18.,33.
resnest50,602,4,110.,9.,7.,9.,14.,30.,56.
resnest101,602,4,193.,16.,12.,16.,26.,45.,78.
resnet18_v1,602,4,47.,4.,1.,2.,3.,4.,7.
resnet18_v1b,602,4,47.,4.,1.,2.,2.,4.,7.
resnet34_v1,602,4,87.,7.,2.40,3.,5.,8.,14.40
resnet34_v1b,602,4,87.,7.,2.,3.,5.,8.,13.
resnet50_v1,602,4,102.,8.,3.,4.,6.,9.,16.
resnet50_v1b,602,4,102.,8.,3.,4.,6.,10.,17.
resnet50_v1c,602,4,102.,8.,3.,4.,6.,10.,17.
resnet50_v1d,602,4,102.,8.,3.,4.,6.,10.,17.
resnet50_v1s,602,4,103.,8.,3.,4.,7.,12.,20.
resnet50_tuned_1.8x,602,4,88.,7.,2.,3.,4.,7.,11.
resnet101v1,602,4,178.,15.,5.,8.,11.,18.,30.30
resnet101_v1b,602,4,178.0,14.,5.,7.80,11.,19.,31.
resnet101_v1c,602,4,178.,14.,5.,8.,12.,19.,32.
resnet101_v1d,602,4,178.,14.,5.,8.,11.,19.,32.
resnet101_v1s,602,4,179.,15.,5.70,8.,12.,21.,35.10
resnet101_tuned_1.9x,602,4,136.,11.,4.,6.,7.,13.,21.
resnet101_tuned_2.2x,602,4,131.0,11.,4.,5.,7.,11.,19.
resnet152_v1,602,4,241.,20.,8.,11.,16.,26.,44.60
resnet152_v1b,602.00,4.00,240.50,19.54,7.86,11.36,16.41,27.05,45.49
resnet152_v1c,602.00,4.00,240.50,19.55,7.90,11.48,16.64,27.42,46.24
resnet152_v1d,602.00,4.00,240.50,19.55,7.89,11.45,16.59,27.38,46.01
resnet152_v1s,602.00,4.00,241.00,19.58,8.15,11.91,17.50,28.95,49.27
resnet18_v2,602.00,4.00,46.70,3.81,1.32,1.81,2.48,4.42,7.12
resnet34_v2,602.00,4.00,87.20,7.11,2.55,3.44,4.83,7.90,14.01
resnet50_v2,602.00,4.00,102.20,8.32,2.73,4.05,5.87,9.93,17.30
resnet101_v2,602.00,4.00,178.10,14.47,5.51,8.05,11.83,18.14,33.57
resnet152_v2,602.00,4.00,240.60,19.56,8.21,11.66,17.03,27.60,48.54
resnext50_32x4d,602.00,4.00,100.00,8.15,2.18,3.23,5.35,9.21,17.42
resnext101_32x4d,602.00,4.00,176.40,14.34,4.65,6.27,10.06,17.75,32.83
resnext101_64x4d,602.00,4.00,333.40,27.18,6.46,10.24,17.13,30.42,60.23
se_resnext50_32x4d,602.00,4.00,110.10,8.95,3.20,4.47,6.87,11.50,20.64
se_resnext101_32x4d,602.00,4.00,195.50,15.89,6.23,8.24,12.53,21.02,37.89
se_resnext101_64x4d,602.00,4.00,352.50,28.75,8.18,12.97,19.93,34.99,66.44
tsn_inceptionv1_kinetics400,1073.00,1.60,24.00,1.96,1.95,2.76,4.44,7.51,13.43
tsn_inceptionv3_kinetics400,1073.00,1.60,90.40,7.37,4.47,6.87,10.97,16.43,26.12
tsn_resnet18_v1b_kinetics400,602.00,1.60,45.50,3.71,1.25,1.72,2.38,3.93,6.83
tsn_resnet34_v1b_kinetics400,602.00,1.60,85.90,7.01,2.38,3.38,4.59,7.74,13.37
tsn_resnet50_v1b_kinetics400,602.00,1.60,97.20,7.93,2.77,3.94,5.85,9.77,16.52
tsn_resnet101_v1b_kinetics400,602.00,1.60,173.10,14.11,5.42,7.80,11.30,18.63,31.15
tsn_resnet152_v1b_kinetics400,602.00,1.60,235.60,19.21,7.87,11.35,16.42,27.07,45.44
cifar_wideresnet16_10,12.00,0.04,68.50,5.59,1.27,1.72,2.61,4.07,7.62
cifar_wideresnet28_10,12.00,0.04,145.90,11.93,2.21,3.57,5.42,8.41,16.05
cifar_wideresnet40_8,12.00,0.04,143.00,11.69,2.49,3.90,5.99,9.86,17.14
winograd_resnet18_v2,602.00,4.00,77.40,6.31,0.95,1.17,1.71,2.81,5.09
winograd_resnet50_v2,602.00,4.00,128.70,10.49,3.39,4.24,6.07,10.28,18.84
winograd_resnet101_v2,602.00,4.00,235.80,19.23,6.36,7.71,10.71,17.26,33.52
winograd_resnet152_v2,602.00,4.00,324.10,26.42,9.40,11.13,15.92,24.42,28.92